Text,contributor
u.s. army,us army
university of virginia,university of virginia
bae systems,bae systems
bath iron works,bath iron works
lockheed martin,lockheed martin
wells fargo,wells fargo
planned parenthood,planned parenthood
express scripts,express scripts
brown university,brown university
citizens united,citizens united
se,se
bank of america,bank of america
goldman sachs,goldman sachs
morgan stanley,morgan stanley
associated builders & contractors,associated builders & contractors