STATE,First name,Last name,Party,Incumbent,Full name,Name,Twitter_username
Alaska,Lisa,Murkowski,Rep,Y,Lisa Murkowski,Lisa Murkowski,lisamurkowski
Arizona,Mark,Kelly,Dem,Y,Mark Kelly,Mark Kelly,CaptMarkKelly
Arizona,Mark,Kelly,Dem,Y,Mark Kelly,Mike Kelly,MikeKellyPA
Arkansas,John,Boozman,Rep,y,John Boozman,John Boozman,Boozman4AR
Arkansas,John,Boozman,Rep,y,John Boozman,John Boozman,JohnBoozman
California,Alex,Padilla,Dem,y,Alex Padilla,Alex Padilla,alexpadilla4ca
Colorado,Michael,Bennet,Dem,y,Michael Bennet,Michael Bennet,MichaelBennet
Colorado,Michael,Bennet,Dem,y,Michael Bennet,Michael Bennet,SenatorBennet
Connecticut,Richard,Blumenthal,Dem,y,Richard Blumenthal,Richard Blumenthal,SenBlumenthal
Florida,Marco,Rubio,Rep,y,Marco Rubio,Marco Rubio,marcorubio
Hawaii,Brian,Schatz,Dem,y,Brian Schatz,Brian Schatz,SenBrianSchatz
Hawaii,Brian,Schatz,Dem,y,Brian Schatz,Brian Schatz,brianschatz
Idaho,Mike,Crapo,Rep,y,Mike Crapo,Mike Crapo,MikeCrapo
Idaho,Mike,Crapo,Rep,y,Mike Crapo,Mike Crapo,crapoforsenate
Illinois,Tammy,Duckworth,Dem,y,Tammy Duckworth,Tammy Duckworth,senduckworth
Indiana,Todd,Young,Rep,y,Todd Young,Todd Young,ToddYoungIN
Indiana,Todd,Young,Rep,y,Todd Young,Todd Young,SenToddYoung
Iowa,Chuck,Grassley,Rep,y,Chuck Grassley,Chuck Grassley,ChuckGrassley
Kansas,Jerry,Moran,Rep,y,Jerry Moran,Jerry Moran,JerryMoran
Kentucky,Rand,Paul,Rep,y,Rand Paul,Rand Paul,RandPaul
Missouri,Eric,Schmitt,Rep,n,Eric Schmitt,Eric Schmitt,Eric_Schmitt
Nevada,Catherine,Masto,Dem,y,Catherine Masto,Catherine Cortez Masto,CatherineForNV
Nevada,Catherine,Masto,Dem,y,Catherine Masto,Catherine Cortez Masto,SenCortezMasto
New Hampshire,Maggie,Hassan,Dem,y,Maggie Hassan,Maggie Hassan,maggie_hassan
New Hampshire,Maggie,Hassan,Dem,y,Maggie Hassan,Maggie Hassan,SenatorHassan
New York,Chuck,Schumer,Dem,y,Chuck Schumer,Chuck Schumer,SenSchumer
North Carolina,Ted,Budd,Rep,n,Ted Budd,Ted Budd,RepTedBudd
North Dakota,John,Hoeven,Rep,y,John Hoeven,John Hoeven,SenJohnHoeven
Ohio,Tim,Ryan,Dem,n,Tim Ryan,Tim Ryan,RepTimRyan
Oklahoma,Kendra,Horn,Dem,n,Kendra Horn,Kendra Horn,RepKendraHorn
Oklahoma,Kendra,Horn,Dem,n,Kendra Horn,Kendra Horn,hornforcongress
Oklahoma,Markwayne,Mullin,Rep,n,Markwayne Mullin,Markwayne Mullin,RepMullin
Oregon,Ron,Wyden,Dem,y,Ron Wyden,Ron Wyden,RonWyden
Oregon,Ron,Wyden,Dem,y,Ron Wyden,Ron Wyden,WydenPress
Oregon,Jo,Perkins,Rep,n,Jo Perkins,Jo Rae Perkins,PerkinsForUSSen
Pennsylvania,John,Fetterman,Dem,n,John Fetterman,John Fetterman,johnfetterman
Pennsylvania,Ronald,Johnson,Constitution,n,Ronald Johnson,Ron Johnson,SenRonJohnson
South Caroline,Tim,Scott,Rep,y,Tim Scott,Tim Scott,SenatorTimScott
South Dakota,John,Thune,Rep,y,John Thune,John Thune,SenJohnThune
South Dakota,John,Thune,Rep,y,John Thune,John Thune,johnthune
Utah,Mike,Lee,Red,y,Mike Lee,Mike Lee,SenMikeLee
Utah,Evan,McMullin,Ind,n,Evan McMullin,Evan McMullin,EvanMcMullin
Utah,Tommy,Williams,Independent America,n,Tommy Williams,Tommy Williams,TexansForTommy
Vermont,Peter,Welch,Dem,n,Peter Welch,Peter Welch,PeterWelch
Washington,Patty,Murray,Dem,y,Patty Murray,Patty Murray,PattyMurray